2.515,17,16.350473,16.587894,16.702147,16.713758,16.727247,16.708693,16.714087
2.185,20,19.885893,19.292534,19.587675,19.540121,19.640032,19.618685,19.695795
1.92,23,23.564714,22.696972,22.975203,22.912043,22.933756,22.928308,22.958029
1.785,25,25.878778,25.132496,25.22027,25.059313,25.22415,25.141016,25.168207
1.645,28,28.637835,28.055111,28.011957,27.937304,27.971338,27.993601,28.012621
1.555,30,30.945688,30.405422,30.147303,30.206198,30.338785,30.234938,30.244902
1.455,33,33.667484,33.504283,33.330486,33.248706,33.193416,33.234104,33.229793
1.38,36,36.3885,36.060985,36.089076,36.00336,36.098316,35.94598,35.927639
1.32,38,38.768047,38.800914,38.445423,38.585613,38.669361,38.487155,38.455371
1.24,42,42.542308,43.082668,43.101055,42.999759,42.78738,42.267269,42.495212
1.155,48,47.263378,48.120914,48.375949,48.255527,47.614253,48.015018,47.937129
1.125,51,50.109714,51.557468,51.98917,51.851306,51.116466,51.568828,51.477329
1.095,53,51.686832,52.826236,52.870517,53.177608,52.855976,52.881664,52.785823
1.045,57,56.683002,58.141269,58.892223,58.709629,58.360637,56.757709,58.261875
1.01,61,60.493572,62.200412,63.116374,62.898677,62.545513,62.545597,61.795917
0.99,64,62.95013,64.141975,65.126029,64.88964,65.234382,64.534706,63.740352
0.96,67,67.099952,68.462837,68.021858,69.288825,69.757164,68.94313,68.827354
0.945,70,67.853721,71.722114,72.903053,72.57978,72.274925,72.253578,72.142143
0.925,73,71.93412,74.399635,73.787681,75.26757,74.990562,74.965003,74.859413
0.915,77,72.818763,77.304023,77.560615,78.167716,76.922706,77.89936,77.802436
0.895,80,79.784172,81.578407,82.875816,82.411125,82.240653,82.20922,81.00077
0.875,84,82.063667,85.128303,86.441505,85.916725,85.816215,85.785148,85.723747
0.86,88,87.097007,87.679817,90.337043,87.153923,89.730567,88.355888,89.66555
0.83,94,96.114036,96.370338,100.999122,95.418876,98.788398,100.482978,100.536109
0.83,97,96.114036,97.990028,97.697868,98.541114,98.788398,100.482978,98.816581
0.805,101,105.414924,106.963081,108.336906,107.343269,107.92382,107.953849,108.089775
0.815,104,103.396919,106.963081,108.336906,107.343269,107.92382,105.979652,108.089775
0.805,107,103.396919,106.963081,110.345207,107.343269,107.92382,107.953849,108.089775
0.785,110,112.031135,111.011207,114.59925,109.299964,116.593666,112.1408,114.583534
0.8,112,112.031135,113.146034,114.59925,113.438514,116.593666,116.679405,114.583534
0.77,114,122.436164,122.506401,124.196098,122.750831,124.100898,124.250587,121.946235
0.775,117,119.639564,120.035453,121.645866,120.280143,124.100898,124.250587,124.62458
0.77,118,119.639564,120.035453,121.645866,122.750831,124.100898,121.616218,124.62458
0.775,120,122.436164,122.506401,124.196098,122.750831,124.100898,124.250587,119.384864
0.755,125,131.760757,130.504562,132.543441,130.824142,132.672897,132.914382,133.447341
0.755,129,131.760757,130.504562,132.543441,133.759719,135.80693,132.914382,133.447341
0.755,130,131.760757,130.504562,132.543441,130.824142,132.672897,132.914382,133.447341
0.755,133,131.760757,130.504562,132.543441,130.824142,129.683609,132.914382,133.447341
0.74,136,142.788284,142.719528,142.118362,140.052307,142.553695,142.926834,143.671463
0.735,138,142.788284,142.719528,142.118362,140.052307,142.553695,142.926834,143.671463
0.755,140,128.483993,130.504562,132.543441,125.327491,142.553695,146.619705,143.671463
